hostname,ip_address
MAIN-OFFICE,10.17.112.21
KITCHEN,10.17.112.22
CAFE-3,10.17.112.23
LOBBY,10.17.112.24
CLINIC,10.17.112.25
RM-102,10.17.112.26
MEDIA-CENTER-2,10.17.112.27
OUTDOOR-10,10.17.112.28
CAFE-1,10.17.112.29
OUTDOOR-11,10.17.112.30
OUTDOOR-08,10.17.112.31
OUTDOOR-09,10.17.112.32
OUTDOOR-07,10.17.112.33
OUTDOOR-01,10.17.112.34
VENDING-MACHINES,10.17.112.35
GUIDANCE,10.17.112.36
STAFF-LOCKER-ROOM,10.17.112.37
RM-115,10.17.112.38
REAR-STAIRS-1,10.17.112.39
RM-111,10.17.112.40
MECH-ROOM,10.17.112.41
MIDDLE-STAIRS-1ST,10.17.112.42
REAR-ENTRANCE,10.17.112.43
RM-201,10.17.112.44
FRONT-STAIRS-2ND,10.17.112.45
RM-218,10.17.112.46
RM-224,10.17.112.47
MIDDLE-STAIRS-2ND,10.17.112.48
REAR-STAIRS-2,10.17.112.49
RM-314,10.17.112.50
RM-301,10.17.112.51
RM-313,10.17.112.52
OUTDOOR-02,10.17.112.53
AUDITORIUM,10.17.112.54
OUTDOOR-03,10.17.112.55
GYM-1,10.17.112.56
OUTDOOR-06,10.17.112.57
OUTDOOR-04,10.17.112.58
OUTDOOR-05,10.17.112.59
SMALL-GYM,10.17.112.60
MIDDLE-STAIRS-3RD,10.17.112.61
Front-Stairs-3rd,10.17.112.62
CAFE-2,10.17.112.64
RM-213,10.17.112.65
MEDIA-CENTER-1,10.17.112.66
RM-108,10.17.112.67